,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1255,2020-05-11,53.13,53.83,53.06,53.53,49.71,8138678,8138678,0.4,0.75287,53.3875,"May 11, 20",0.0075287
1254,2020-05-12,53.8,53.83,52.25,52.27,48.54,8599125,8599125,-1.53,-2.84,53.0375,"May 12, 20",-0.0284
1253,2020-05-13,52.43,52.49,51.28,51.65,47.96,10274300,10274300,-0.78,-1.49,51.9625,"May 13, 20",-0.0149
1252,2020-05-14,51.14,53.03,50.86,52.91,49.13,13794017,13794017,1.77,3.46,51.985,"May 14, 20",0.0346
1251,2020-05-15,52.7,53.99,52.52,52.92,49.14,39055700,39055700,0.22,0.41746,53.0325,"May 15, 20",0.0041746
1250,2020-05-18,53.91,53.95,53.07,53.15,49.36,9901976,9901976,-0.76,-1.41,53.52,"May 18, 20",-0.0141
1249,2020-05-19,53.18,53.25,52.32,52.34,48.61,9805100,9805100,-0.84,-1.58,52.7725,"May 19, 20",-0.0158
1248,2020-05-20,53.09,53.27,52.65,52.9,49.13,9115916,9115916,-0.19,-0.35788,52.9775,"May 20, 20",-0.0035788
1247,2020-05-21,52.76,52.94,52.12,52.22,48.49,7464119,7464119,-0.54,-1.02,52.51,"May 21, 20",-0.0102
1246,2020-05-22,52.34,52.64,52.08,52.62,48.87,7211700,7211700,0.28,0.53496,52.42,"May 22, 20",0.0053496
1245,2020-05-26,53.65,53.68,52.65,52.78,49.01,11200711,11200711,-0.87,-1.62,53.19,"May 26, 20",-0.0162
1244,2020-05-27,53.0,53.25,52.57,53.2,49.4,9228100,9228100,0.2,0.37736,53.005,"May 27, 20",0.0037736
1243,2020-05-28,53.76,54.15,53.22,53.62,49.79,9465604,9465604,-0.14,-0.26042,53.6875,"May 28, 20",-0.0026042
1242,2020-05-29,53.62,53.94,52.99,53.77,49.93,14735338,14735338,0.15,0.27975,53.58,"May 29, 20",0.0027975
1241,2020-06-01,53.28,53.39,52.79,53.06,49.27,7364358,7364358,-0.22,-0.41291,53.13,"June 01, 20",-0.0041291
1240,2020-06-02,53.24,53.29,52.64,53.28,49.48,8756300,8756300,0.04,0.07513148,53.1125,"June 02, 20",0.0007513148
1239,2020-06-03,53.33,53.62,52.99,53.49,49.67,9188780,9188780,0.16,0.30002,53.3575,"June 03, 20",0.0030002
1238,2020-06-04,53.23,53.69,52.63,52.85,49.08,9696217,9696217,-0.38,-0.71388,53.1,"June 04, 20",-0.0071388
1237,2020-06-05,53.09,54.27,52.74,53.98,50.13,12210100,12210100,0.89,1.68,53.52,"June 05, 20",0.0168
1236,2020-06-08,53.35,55.12,53.28,55.1,51.17,11519522,11519522,1.75,3.28,54.2125,"June 08, 20",0.0328
1235,2020-06-09,55.0,55.06,53.88,54.18,50.31,8852655,8852655,-0.82,-1.49,54.53,"June 09, 20",-0.0149
1234,2020-06-10,54.5,54.66,53.9,54.11,50.25,7436715,7436715,-0.39,-0.7156,54.2925,"June 10, 20",-0.007156
1233,2020-06-11,53.25,53.56,51.23,51.31,47.65,12806143,12806143,-1.94,-3.64,52.3375,"June 11, 20",-0.0364
1232,2020-06-12,52.45,53.0,50.98,51.86,48.16,11537560,11537560,-0.59,-1.12,52.0725,"June 12, 20",-0.0112
1231,2020-06-15,50.96,53.43,50.91,53.25,49.45,16038100,16038100,2.29,4.49,52.1375,"June 15, 20",0.0449
1230,2020-06-16,54.46,55.0,53.78,54.59,50.69,19380240,19380240,0.13,0.23871,54.4575,"June 16, 20",0.0023871
1229,2020-06-17,53.03,53.74,51.5,51.52,47.84,28692615,28692615,-1.51,-2.85,52.4475,"June 17, 20",-0.0285
1228,2020-06-18,51.6,54.0,51.32,53.69,49.86,19259542,19259542,2.09,4.05,52.6525,"June 18, 20",0.0405
1227,2020-06-19,54.21,54.46,52.98,54.4,50.52,33051200,33051200,0.19,0.35049,54.0125,"June 19, 20",0.0035049
1226,2020-06-22,54.09,55.39,53.88,55.12,51.19,16705900,16705900,1.03,1.9,54.62,"June 22, 20",0.019
1225,2020-06-23,55.3,55.97,55.13,55.19,51.25,18695018,18695018,-0.11,-0.19892,55.3975,"June 23, 20",-0.0019892
1224,2020-06-24,55.12,55.68,54.33,54.44,50.56,18287769,18287769,-0.68,-1.23,54.8925,"June 24, 20",-0.0123
1223,2020-06-25,54.4,54.59,53.54,54.53,50.64,16008724,16008724,0.13,0.23897,54.265,"June 25, 20",0.0023897
1222,2020-06-26,54.35,54.59,53.63,54.18,50.31,17969438,17969438,-0.17,-0.31279,54.1875,"June 26, 20",-0.0031279
1221,2020-06-29,54.23,54.96,53.85,54.76,50.85,14366908,14366908,0.53,0.97732,54.45,"June 29, 20",0.0097732
1220,2020-06-30,54.8,55.44,54.5,55.27,51.33,18885900,18885900,0.47,0.85766,55.0025,"June 30, 20",0.0085766
1219,2020-07-01,54.69,55.88,54.68,55.49,51.53,17856800,17856800,0.8,1.46,55.185,"July 01, 20",0.0146
1218,2020-07-02,55.79,56.43,55.65,55.94,51.95,15478903,15478903,0.15,0.26887,55.9525,"July 02, 20",0.0026887
1217,2020-07-06,56.2,56.83,56.16,56.6,52.56,15309700,15309700,0.405,0.71174,56.4475,"July 06, 20",0.0071174
1216,2020-07-07,56.35,56.95,56.22,56.31,52.29,13232198,13232198,-0.04,-0.07098492,56.4575,"July 07, 20",-0.0007098492
1215,2020-07-08,56.63,56.68,55.99,56.66,52.62,12582610,12582610,0.03,0.05297545,56.49,"July 08, 20",0.0005297545
1214,2020-07-09,56.99,57.8,56.82,57.53,53.43,15692600,15692600,0.54,0.94753,57.285,"July 09, 20",0.0094753
1213,2020-07-10,57.47,57.52,56.69,57.39,53.3,12615800,12615800,-0.08,-0.1392,57.2675,"July 10, 20",-0.001392
1212,2020-07-13,57.4,57.84,56.97,57.01,52.94,15965600,15965600,-0.39,-0.67944,57.305,"July 13, 20",-0.0067944
1211,2020-07-14,56.67,57.29,56.48,57.2,53.34,15510300,15510300,0.53,0.93524,56.91,"July 14, 20",0.0093524
1210,2020-07-15,57.42,57.84,56.38,56.62,52.8,10571043,10571043,-0.8,-1.39,57.065,"July 15, 20",-0.0139
1209,2020-07-16,56.42,56.49,55.58,55.82,52.06,8779360,8779360,-0.6,-1.06,56.0775,"July 16, 20",-0.0106
1208,2020-07-17,56.08,56.12,54.76,54.9,51.2,14345065,14345065,-1.18,-2.1,55.465,"July 17, 20",-0.021
1207,2020-07-20,54.88,55.52,54.69,55.4,51.66,11469300,11469300,0.52,0.94752,55.1225,"July 20, 20",0.0094752
1206,2020-07-21,55.8,56.34,55.58,55.91,52.14,11875100,11875100,0.11,0.19713,55.9075,"July 21, 20",0.0019713
1205,2020-07-22,55.7,56.18,55.7,56.01,52.23,13842610,13842610,0.31,0.55655,55.8975,"July 22, 20",0.0055655
1204,2020-07-23,56.0,56.36,55.6,55.76,52.0,12576046,12576046,-0.24,-0.42857,55.93,"July 23, 20",-0.0042857
1203,2020-07-24,55.47,56.04,55.26,55.65,51.9,8939700,8939700,0.18,0.3245,55.605,"July 24, 20",0.003245
1202,2020-07-27,55.66,55.95,55.32,55.34,51.61,10319936,10319936,-0.32,-0.57492,55.5675,"July 27, 20",-0.0057492
1201,2020-07-28,55.25,55.74,55.2,55.35,51.62,13030193,13030193,0.1,0.181,55.385,"July 28, 20",0.00181
1200,2020-07-29,55.56,55.9,55.35,55.7,51.94,7243071,7243071,0.14,0.25198,55.6275,"July 29, 20",0.0025198
1199,2020-07-30,55.0,55.48,54.89,55.25,51.52,7633243,7633243,0.25,0.45455,55.155,"July 30, 20",0.0045455
1198,2020-07-31,55.18,55.47,54.33,55.45,51.71,9355800,9355800,0.27,0.48931,55.1075,"July 31, 20",0.0048931
1197,2020-08-03,55.78,56.09,55.49,55.98,52.21,9165025,9165025,0.2,0.35855,55.835,"August 03, 20",0.0035855
1196,2020-08-04,55.78,56.01,55.53,56.0,52.22,6364339,6364339,0.22,0.39441,55.83,"August 04, 20",0.0039441
1195,2020-08-05,56.32,56.32,55.38,55.5,51.76,6629046,6629046,-0.82,-1.46,55.88,"August 05, 20",-0.0146
1194,2020-08-06,55.49,55.6,54.94,55.28,51.55,8169855,8169855,-0.21,-0.37845,55.3275,"August 06, 20",-0.0037845
1193,2020-08-07,55.01,55.24,54.76,55.23,51.51,8772300,8772300,0.22,0.39993,55.06,"August 07, 20",0.0039993
1192,2020-08-10,55.24,55.62,54.88,54.94,51.24,10047111,10047111,-0.3,-0.54308,55.17,"August 10, 20",-0.0054308
1191,2020-08-11,55.24,55.46,54.14,54.27,50.61,8075289,8075289,-0.97,-1.76,54.7775,"August 11, 20",-0.0176
1190,2020-08-12,54.52,54.7,53.97,54.17,50.52,9068344,9068344,-0.35,-0.64197,54.34,"August 12, 20",-0.0064197
1189,2020-08-13,53.91,54.2,53.68,54.02,50.38,8260423,8260423,0.11,0.20404,53.9525,"August 13, 20",0.0020404
1188,2020-08-14,54.03,54.56,53.77,54.2,50.55,5454407,5454407,0.17,0.31464,54.14,"August 14, 20",0.0031464
1187,2020-08-17,54.2,54.39,53.66,53.99,50.35,9523832,9523832,-0.21,-0.38745,54.06,"August 17, 20",-0.0038745
1186,2020-08-18,55.62,56.93,54.87,55.18,51.46,21102607,21102607,-0.44,-0.79108,55.65,"August 18, 20",-0.0079108
1185,2020-08-19,55.58,56.8,55.46,56.2,52.41,16751500,16751500,0.62,1.12,56.01,"August 19, 20",0.0112
1184,2020-08-20,55.59,55.81,55.09,55.26,51.53,10975123,10975123,-0.33,-0.59363,55.4375,"August 20, 20",-0.0059363
1183,2020-08-21,55.38,55.45,54.73,55.19,51.47,9552000,9552000,-0.19,-0.34308,55.1875,"August 21, 20",-0.0034308
1182,2020-08-24,55.76,56.11,55.44,56.01,52.23,7892100,7892100,0.25,0.44835,55.83,"August 24, 20",0.0044835
1181,2020-08-25,56.15,56.75,56.02,56.09,52.31,7427033,7427033,-0.06,-0.10686,56.2525,"August 25, 20",-0.0010686
1180,2020-08-26,56.34,57.49,56.06,57.49,53.61,11597600,11597600,1.15,2.04,56.845,"August 26, 20",0.0204
1179,2020-08-27,57.45,58.45,56.58,57.18,53.32,15834700,15834700,-0.27,-0.46997,57.415,"August 27, 20",-0.0046997
1178,2020-08-28,57.33,58.16,57.21,57.88,53.98,8613830,8613830,0.55,0.95936,57.645,"August 28, 20",0.0095936
1177,2020-08-31,57.13,57.76,57.04,57.22,53.36,18683506,18683506,0.09,0.15754,57.2875,"August 31, 20",0.0015754
1176,2020-09-01,57.37,58.01,57.08,57.66,53.77,10170906,10170906,0.29,0.50549,57.53,"September 01, 20",0.0050549
1175,2020-09-02,57.72,59.32,57.72,59.03,55.05,14342824,14342824,1.31,2.27,58.4475,"September 02, 20",0.0227
1174,2020-09-03,58.72,58.99,56.65,57.1,53.25,15387416,15387416,-1.62,-2.76,57.865,"September 03, 20",-0.0276
